lema,categoria,url,definicion,ejemplos,frases
abandonar,verbo,https://diesgital.com/search?q=abandonar,"en sentido figurado, dejar sin favor ni protección a algo o alguien que lo tenía en un tiempo pasado",La familia nunca te abandona ni te olvida. || Tras el accidente la conductora escapó y abandonó el cuerpo de su amigo.,abandonando a sus trabajadores enfermos || abandonar niños en los orfanatos || el fenómeno de la gata madre que abandona a sus gatitos || el Gobierno que abandona a los dependientes a su suerte || la mujer que abandonó a sus dos hijos en el colegio al no poder mantenerlos
abandonar,verbo,https://diesgital.com/search?q=abandonar,"en sentido figurado, hacer que algo, generalmente una parte del cuerpo, descanse sobre una cosa de manera perezosa y sin cuidado",Suavemente abandonó su cabeza sobre mi hombro y se quedó dormido.,"abandonar la espalda desnuda sobre el mosaico fresco, largo a largo en el suelo || antes de abandonar la cabeza en el hueco del travesaño || descansar y abandonar el cuerpo sobre las sábanas para recuperar energías"
abogado,nombre,https://diesgital.com/search?q=abogado,"en sentido figurado, persona (hombre o mujer) que habla o sale en favor de alguien con el fin de conseguir algo que le favorezca o evitar algún mal",Estos abogados se creen que pueden resolver todos estos problemas mediando entre los primos.,y a los abogados que resuelven los problemas
abogado,nombre,https://diesgital.com/search?q=abogado,"en sentido figurado, hombre que habla o sale en favor de alguien con el fin de conseguir algo que le favorezca o evitar algún mal","Siempre está haciendo de abogado, intentando mediar entre los problemas y discusiones de la familia.",y es el abogado que media entre sus amigos
abogado,nombre,https://diesgital.com/search?q=abogado,"en sentido figurado, hombre que habla mal de otras personas y fomenta los malos entendidos",Hace tiempo que dejamos de salir con él porque es un abogado que no hacía más que meternos en líos con sus chismes.,un abogado liante que enreda
abogado,nombre,https://diesgital.com/search?q=abogado,"en sentido figurado, persona (hombre o mujer) que habla mal de otras personas y fomenta los malos entendidos","Se comporta como como un abogado chismorreando todo el día,",y se creen los abogados defensores de los derechos humanos
abril,nombre,https://diesgital.com/search?q=abril,"en sentido figurado, etapa de la juventud, previa a la edad adulta","Se hallaban también en el abril de la vida, cuando comienza a germinar en el corazón la semilla del amor, oculta en él desde el nacer y hasta entonces desconocida.","el abril en el que despiertan los romances || estar en el abril de la vida || estar hecho un abril || un abril que todos, en un momento u otro, hemos vivido"
abril,nombre,https://diesgital.com/search?q=abril,"en sentido figurado, cosa o persona que complace o agrada por su apariencia o amabilidad","Eres un abril que me ruboriza en cada latido, en cada te amo.",conmemorar aquel abril de victorias || dar su obediencia ciega en el abril de su hermosura || ser todo un abril
abuelo,nombre,https://diesgital.com/search?q=abuelo,"en sentido figurado, número noventa en los cartones o fichas de los juegos de azar como por ejemplo el bingo o la lotería","Casi hago línea, solo me faltaba el abuelo. || Siempre elige el número noventa, o abuelo, cuando echa la primitiva.",cuando me tocó el abuelo en la lotería || el día en que el abuelo salió premiado
abuelo,nombre,https://diesgital.com/search?q=abuelo,"en sentido figurado, soldado que finalizará el servicio militar en seis meses o menos; se usa en el discurso militar","Si todo va bien, este abuelo terminará su servicio militar en menos de cuatro meses","convertirse en abuelo, es decir, dejar de prestar el servicio militar dentro de poco más de cinco meses || soldado que el mes que viene se convertirá en abuelo || y por fin volverme abuelo y poder largarme del ejército en menos de seis meses"
